"id","latitude","longitude","wsp"
568,17.7907,-3.2956,0.139209
569,14.5595,-3.26527,0.142994
570,11.3262,-3.24192,0.146581
571,8.09136,-3.2249,0.150677
572,4.8553,-3.21379,0.155957
573,1.61851,-3.20831,0.163051
574,-1.61851,-3.20831,0.163051
575,-4.8553,-3.21379,0.155957
576,-8.09136,-3.2249,0.150677
577,-11.3262,-3.24192,0.146581
578,-14.5595,-3.26527,0.142994
579,-17.7907,-3.2956,0.139209
580,-21.0196,-3.33375,0.134498
581,-24.2458,-3.38084,0.128125
582,-27.4691,-3.43834,0.119362
583,28.5457,0,0.115776
584,27.4691,3.43834,0.119362
585,25.374,0,0.125368
586,26.3014,6.80747,0.12286
587,24.2458,3.38084,0.128125
588,22.2022,0,0.132394
589,25.0491,10.1069,0.126194
590,23.0282,6.69933,0.130773
591,21.0196,3.33375,0.134498
592,19.0305,0,0.13755
593,23.7182,13.3373,0.129312
594,21.7277,9.95552,0.133267
595,19.7495,6.61123,0.136509
596,17.7907,3.2956,0.139209
597,15.8587,0,0.141537
598,22.3151,16.5001,0.13218
599,20.3507,13.1503,0.135586
600,18.3988,9.83299,0.138415
601,16.466,6.54047,0.140831
602,14.5595,3.26527,0.142994
603,12.687,0,0.14505
604,20.8456,19.5975,0.134787
605,18.9036,16.2853,0.137727
606,16.974,13.0003,0.140224
607,15.0632,9.73565,0.142436
608,13.1782,6.48501,0.14451
609,11.3262,3.24192,0.146581
610,9.51524,0,0.148768
611,19.3157,22.6325,0.137145
612,17.3925,19.3628,0.139711
613,15.4816,16.1148,0.141966
614,13.5892,12.8827,0.144059
615,11.7219,9.66074,0.146129
616,9.8868,6.44331,0.1483
617,8.09136,3.2249,0.150677
618,6.34349,0,0.153341
619,17.7312,25.6084,0.139285
620,15.8235,22.3856,0.141577
621,13.9281,19.1791,0.143688
622,12.0508,15.9837,0.145758
623,10.1979,12.7944,0.147917
624,8.37613,9.6062,0.150279
625,6.59274,6.41427,0.152936
626,4.8553,3.21379,0.155957
627,3.17175,0,0.159383
628,16.0975,28.5291,0.141262
629,14.2024,25.3569,0.143387
630,12.3196,22.1958,0.145458
631,10.4544,19.0411,0.147607
632,8.6129,15.8883,0.149954
633,6.80147,12.7329,0.152604
634,5.02702,9.57061,0.155637
635,3.29684,6.39714,0.159109
636,1.61851,3.20831,0.163051
637,0,0,0.167459
638,14.42,31.3989,0.143148
639,12.535,28.2803,0.145218
640,10.6621,25.168,0.147358
641,8.80644,22.0577,0.149693
642,6.97363,18.9451,0.152334
643,5.16983,15.826,0.155374
644,3.4016,12.6966,0.158883
645,1.6759,9.55303,0.162906
646,0,6.39147,0.167459
647,-1.61851,3.20831,0.163051
648,-3.17175,0,0.159383
649,12.7039,34.2221,0.145032
650,10.8267,31.1598,0.147163
651,8.96152,28.0994,0.149487
652,7.11302,25.0367,0.152119
653,5.28658,21.9676,0.155162
654,3.48803,18.8884,0.158698
655,1.72363,15.7953,0.162786
656,0,12.6847,0.167459
657,-1.6759,9.55303,0.162906
658,-3.29684,6.39714,0.159109
659,-4.8553,3.21379,0.155957
660,-6.34349,0,0.153341
